original	analyzed	corrected
Saddhindriyaṁ saddhāti? Āmantā.	sat hi indriyam sat hāti āmantā 	saddhindriyaṁ saddhāti āmantā
Sotindriyaṁ indriyañceva sotindriyañca. Avasesā indriyā na sotindriyaṁ.	indriyaṃ ca iva sotindriyam ca avasesāḥ indriyāḥ na 	Sotindriyaṁ indriyaṃ ca eva sotindriyam ca avasesā indriyā na sotindriyaṁ
Ghānindriyaṁ indriyañceva ghānindriyañca. Avasesā indriyā na ghānindriyaṁ.	gha an indriyam indriyañca iva gha an indriyañca avasesāḥ indriyāḥ na 	ghānindriyaṁ indriyañceva ghānindriyañca avasesā indriyā na ghānindriyaṁ
Jivhindriyaṁ indriyañceva jivhindriyañca. Avasesā indriyā na jivhindriyaṁ.	jivhā indriyam indriyam ca iva jivhā indriyam ca avasesāḥ indriyāḥ na 	jivhā indriyam indriyam ca eva jivhā indriyam ca avasesāḥ indriyāḥ na jivhā indriyam
Jīvitindriyaṁ indriyañceva jīvitindriyañca. Avasesā indriyā na jīvitindriyaṁ.	jīvitindriyam indriyam ca iva jīvitindriyam ca avasesāḥ indriyāḥ na 	jīvitindriyam indriyam ca eva jīvitindriyam ca avasesā indriyā na jīvitindriyam
Somanassindriyaṁ indriyañceva somanassindriyañca. Avasesā indriyā na somanassindriyaṁ.	somanassindriyam indriyañca iva somanassindriyañca avasesāḥ indriyāḥ na 	somanassindriyam indriyañca eva somanassindriyañca avasesā indriyā na somanassindriyam
Domanassindriyaṁ indriyañceva domanassindriyañca. Avasesā indriyā na domanassindriyaṁ.	domanassindriyam indriyam ca iva domanassindriyam ca avasesāḥ indriyāḥ na 	domanassindriyam indriyam ca eva domanassindriyam ca avasesā indriyā na domanassindriyam
Vīriyindriyaṁ indriyañceva vīriyindriyañca. Avasesā indriyā na vīriyindriyaṁ.	vīriya indriyam indriyam ca iva vīriya indriyam ca avasesāḥ indriyāḥ na 	vīriya indriyam indriyam ca eva vīriya indriyam ca avasesāḥ indriyāḥ na vīriya indriyam
Satindriyaṁ indriyañceva satindriyañca. Avasesā indriyā na satindriyaṁ.	sat indriyam indriyañca iva sat indriyañca avasesāḥ indriyāḥ na 	sat indriyam indriyañca eva sat indriyañca avasesā indriyā na sat indriyam
Samādhindriyaṁ indriyañceva samādhindriyañca. Avasesā indriyā na samādhindriyaṁ.	samādhindriyam indriyam ca iva samādhindriyam ca avasesāḥ indriyāḥ na 	samādhindriyam indriyam ca eva samādhindriyam ca avasesāḥ indriyāḥ na samādhindriyam
Na indriyā na ghānindriyanti? Āmantā.	na indriyāḥ na gha anindriyanti 	na indriyā na ghānindriyanti āmantā
Sotindriyaṁ indriyañceva sotindriyañca. Avasesā indriyā na sotindriyaṁ.	indriyaṃ ca iva sotindriyam ca avasesāḥ indriyāḥ na 	Sotindriyaṁ indriyaṃ ca eva sotindriyam ca avasesā indriyā na sotindriyaṁ
Ghānindriyaṁ indriyañceva ghānindriyañca. Avasesā indriyā na ghānindriyaṁ.	gha an indriyam indriyañca iva gha an indriyañca avasesāḥ indriyāḥ na 	ghānindriyaṁ indriyañceva ghānindriyañca avasesā indriyā na ghānindriyaṁ
Jivhindriyaṁ indriyañceva jivhindriyañca. Avasesā indriyā na jivhindriyaṁ.	jivhā indriyam indriyam ca iva jivhā indriyam ca avasesāḥ indriyāḥ na 	jivhā indriyam indriyam ca eva jivhā indriyam ca avasesāḥ indriyāḥ na jivhā indriyam
Jīvitindriyaṁ indriyañceva jīvitindriyañca. Avasesā indriyā na jīvitindriyaṁ.	jīvitindriyam indriyam ca iva jīvitindriyam ca avasesāḥ indriyāḥ na 	jīvitindriyam indriyam ca eva jīvitindriyam ca avasesā indriyā na jīvitindriyam
