segmentnr	original	analyzed
PA_tika-abh07_t:0	Namo tassa bhagavato arahato sammāsambuddhassa	▁na mo ▁tassa ▁bhagavato ▁arahato ▁sammāsambuddh assa
PA_tika-abh07_t:1	Abhidhammatthasaṅgaho	▁abhidhamm atth asaṃgah o
PA_tika-abh07_t:2	Ganthārambhakathā	▁ganth ārambh akathā
PA_tika-abh07_t:3	1. Sammāsambuddhamatulaṃ, sasaddhammagaṇuttamaṃ.	▁sammāsambuddh ama tu laṃ ▁sa saddhamm a gaṇ uttama ṃ
PA_tika-abh07_t:4	Abhivādiya bhāsissaṃ, abhidhammatthasaṅgahaṃ.	▁abhi vād iya ▁ bhās issa ṃ ▁abhidhamm atth asaṃgah aṃ
PA_tika-abh07_t:5	Catuparamatthadhammo	▁catu param atth adhammo
PA_tika-abh07_t:6	2. Tattha vuttābhidhammatthā, catudhā paramatthato.	▁tattha ▁vutt ābhi dhamm atth ā ▁catu dhā ▁paramatth ato
PA_tika-abh07_t:7	Cittaṃ cetasikaṃ rūpaṃ, nibbānamiti sabbathā.	▁cittaṃ ▁ cetasik aṃ ▁rūpaṃ ▁nibbān a mi ti ▁sabbathā
PA_tika-abh07_t:8	1. Cittaparicchedo	▁citt aparicched o
PA_tika-abh07_t:9	Bhūmibhedacittaṃ	▁bhūmi bhed acitt aṃ
PA_tika-abh07_t:10	3. Tattha cittaṃ tāva catubbidhaṃ hoti kāmāvacaraṃ rūpāvacaraṃ arūpāvacaraṃ lokuttarañceti.	▁tattha ▁cittaṃ ▁tāva ▁catubbidh aṃ ▁hoti ▁kāmāvacar aṃ ▁rūpāvacar aṃ ▁arūpāvacar aṃ ▁lokuttar añce ti
PA_tika-abh07_t:11	Akusalacittaṃ	▁akusal acitt aṃ
PA_tika-abh07_t:12_0	4. Tattha katamaṃ kāmāvacaraṃ? Somanassasahagataṃ diṭṭhigatasampayuttaṃ asaṅkhārikamekaṃ,	▁tattha ▁katamaṃ ▁kāmāvacar aṃ ▁somanass a saha gat aṃ ▁diṭṭhigat asampayutt aṃ ▁a saṃkhār ika me kaṃ
PA_tika-abh07_t:12_1	sasaṅkhārikamekaṃ, somanassasahagataṃ diṭṭhigatavippayuttaṃ asaṅkhārikamekaṃ, sasaṅkhārikamekaṃ,	▁sa saṃkhār ika me kaṃ ▁somanass a saha gat aṃ ▁diṭṭhigat avippayutt aṃ ▁a saṃkhār ika me kaṃ ▁sa saṃkhār ika me kaṃ
PA_tika-abh07_t:12_2	upekkhāsahagataṃ diṭṭhigatasampayuttaṃ asaṅkhārikamekaṃ, sasaṅkhārikamekaṃ, upekkhāsahagataṃ	▁upekkhā saha gat aṃ ▁diṭṭhigat asampayutt aṃ ▁a saṃkhār ika me kaṃ ▁sa saṃkhār ika me kaṃ ▁upekkhā saha gat aṃ
PA_tika-abh07_t:12_3	diṭṭhigatavippayuttaṃ asaṅkhārikamekaṃ, sasaṅkhārikamekanti imāni aṭṭhapi lobhasahagatacittāni nāma.	▁diṭṭhigat avippayutt aṃ ▁a saṃkhār ika me kaṃ ▁sa saṃkhār ika me kanti ▁imāni ▁aṭṭha pi ▁lobh a saha gat acitt āni ▁nāma
PA_tika-abh07_t:13	5. Domanassasahagataṃ paṭighasampayuttaṃ asaṅkhārikamekaṃ, sasaṅkhārikamekanti imāni dvepi paṭighasampayuttacittāni nāma.	▁domanass a saha gat aṃ ▁paṭi gh asampayutt aṃ ▁a saṃkhār ika me kaṃ ▁sa saṃkhār ika me kanti ▁imāni ▁dve pi ▁paṭi gh asampayutt acitt āni ▁nāma
PA_tika-abh07_t:14	6. Upekkhāsahagataṃ vicikicchāsampayuttamekaṃ, upekkhāsahagataṃ uddhaccasampayuttamekanti imāni dvepi momūhacittāni nāma.	▁upekkhā saha gat aṃ ▁vicikicchā sampayutta me kaṃ ▁upekkhā saha gat aṃ ▁ uddh a cc asampayutt amek anti ▁imāni ▁dve pi ▁ mo m ū h acitt āni ▁nāma
